,March_BNB,March_BNB,March_BNB,April_BNB,April_BNB,April_BNB,May_BNB,May_BNB,May_BNB,June_BNB,June_BNB,June_BNB,July_BNB,July_BNB,July_BNB
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
23,2022-03-16 15:42:57,0.014598,Neutral,2022-04-09 21:00:00,0.091499,Neutral,2022-05-13 17:47:14,-0.076821,Neutral,2022-06-07 15:32:46,0.069758,Neutral,2022-07-08 19:49:51,-0.007292,Neutral
24,2022-03-16 15:48:34,-0.202698,Somewhat-Bearish,2022-04-11 03:45:09,0.017335,Neutral,2022-05-13 19:12:53,-0.038368,Neutral,2022-06-07 21:29:41,0.025973,Neutral,2022-07-11 06:49:00,-0.021511,Neutral
25,2022-03-17 12:36:27,0.114052,Neutral,2022-04-11 09:11:15,0.080617,Neutral,2022-05-14 10:50:00,0.013512,Neutral,2022-06-07 21:43:23,-0.021428,Neutral,2022-07-11 15:02:39,0.201721,Somewhat-Bullish
26,2022-03-17 17:00:23,0.003542,Neutral,2022-04-11 12:29:00,0.172112,Somewhat-Bullish,2022-05-15 07:59:54,-0.019533,Neutral,2022-06-08 16:00:00,0.143577,Neutral,2022-07-11 19:08:29,0.053471,Neutral
27,2022-03-17 17:09:28,-0.059412,Neutral,2022-04-11 18:23:50,-0.195562,Somewhat-Bearish,2022-05-16 03:40:40,-0.06368,Neutral,2022-06-08 17:04:30,0.011014,Neutral,2022-07-12 03:08:03,-0.016488,Neutral
28,2022-03-17 22:41:37,0.058642,Neutral,2022-04-12 03:01:36,0.012732,Neutral,2022-05-16 10:44:26,-0.023402,Neutral,2022-06-08 17:44:06,-0.086166,Neutral,2022-07-12 19:43:19,0.390757,Bullish
29,2022-03-17 23:15:16,-0.069604,Neutral,2022-04-12 13:00:34,0.070236,Neutral,2022-05-16 12:04:07,-0.010394,Neutral,2022-06-08 20:14:32,0.049996,Neutral,2022-07-12 20:14:36,0.121373,Neutral
30,2022-03-18 04:31:56,0.024723,Neutral,2022-04-12 15:51:38,0.181999,Somewhat-Bullish,2022-05-16 12:44:49,-0.070648,Neutral,2022-06-09 13:00:35,0.036596,Neutral,2022-07-13 13:46:13,0.125132,Neutral
31,2022-03-18 07:41:00,0.035748,Neutral,2022-04-12 17:45:35,-0.041924,Neutral,2022-05-16 12:48:29,-0.184251,Somewhat-Bearish,2022-06-09 16:09:07,0.056049,Neutral,2022-07-13 16:21:14,0.027001,Neutral
32,2022-03-18 15:47:33,-0.136908,Neutral,2022-04-12 18:00:24,0.133113,Neutral,2022-05-16 17:24:35,-0.036894,Neutral,2022-06-10 05:51:08,-0.002349,Neutral,2022-07-14 12:57:18,0.067704,Neutral
33,2022-03-18 18:23:00,0.099161,Neutral,2022-04-13 01:08:30,-0.045194,Neutral,2022-05-16 19:00:00,-0.091508,Neutral,2022-06-10 11:00:00,0.08182,Neutral,2022-07-14 13:27:21,-0.145855,Neutral
34,2022-03-18 19:06:52,0.113384,Neutral,2022-04-13 03:29:49,0.018236,Neutral,2022-05-16 20:15:00,-0.009259,Neutral,2022-06-10 11:26:00,0.075865,Neutral,2022-07-14 14:52:14,0.374592,Bullish
35,2022-03-20 10:15:21,0.022979,Neutral,2022-04-13 08:38:43,0.110738,Neutral,2022-05-16 21:06:36,0.033291,Neutral,2022-06-10 11:56:08,0.194226,Somewhat-Bullish,2022-07-14 15:27:19,-0.18225,Somewhat-Bearish
36,2022-03-21 12:45:10,0.049539,Neutral,2022-04-13 17:29:06,-0.311431,Somewhat-Bearish,2022-05-16 21:48:02,0.162481,Somewhat-Bullish,2022-06-10 18:10:04,0.053342,Neutral,2022-07-14 23:02:31,-0.315893,Somewhat-Bearish
37,2022-03-21 12:58:00,0.125325,Neutral,2022-04-13 17:30:02,0.022826,Neutral,2022-05-17 10:29:49,0.004174,Neutral,2022-06-10 18:14:18,0.030039,Neutral,2022-07-15 11:30:18,0.130829,Neutral
38,2022-03-21 14:46:02,0.187909,Somewhat-Bullish,2022-04-14 03:28:46,0.027293,Neutral,2022-05-17 18:09:41,-0.271366,Somewhat-Bearish,2022-06-10 19:28:47,0.084588,Neutral,2022-07-15 19:14:24,0.06315,Neutral
39,2022-03-21 16:01:59,-0.191162,Somewhat-Bearish,2022-04-14 06:00:00,0.046511,Neutral,2022-05-18 01:52:34,-0.059581,Neutral,2022-06-10 21:00:00,-0.076852,Neutral,2022-07-15 20:20:00,-0.078113,Neutral
40,2022-03-21 20:30:00,0.034414,Neutral,2022-04-14 07:43:52,0.059306,Neutral,2022-05-19 03:29:15,-0.108019,Neutral,2022-06-11 11:24:41,0.029592,Neutral,2022-07-16 11:31:00,0.126139,Neutral
