,March_BTC,March_BTC,March_BTC,April_BTC,April_BTC,April_BTC,May_BTC,May_BTC,May_BTC,June_BTC,June_BTC,June_BTC,July_BTC,July_BTC,July_BTC
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
106,,,,2022-04-01 23:36:24,0.200911,Somewhat-Bullish,2022-05-02 21:04:00,0.06677,Neutral,2022-06-02 13:19:00,-0.057611,Neutral,2022-07-01 21:15:53,-0.560972,Bearish
107,,,,2022-04-02 02:40:00,-0.148427,Neutral,2022-05-02 21:04:00,0.064712,Neutral,2022-06-02 13:38:40,-0.016397,Neutral,2022-07-01 21:30:00,-0.090642,Neutral
108,,,,2022-04-02 03:58:01,0.000453,Neutral,2022-05-02 21:08:31,-0.227343,Somewhat-Bearish,2022-06-02 13:42:00,-0.223442,Somewhat-Bearish,2022-07-01 21:39:00,0.061585,Neutral
109,,,,2022-04-02 04:09:20,0.037683,Neutral,2022-05-02 21:15:00,-0.103065,Neutral,2022-06-02 13:48:32,0.067437,Neutral,2022-07-01 23:00:26,0.012292,Neutral
110,,,,2022-04-02 06:08:33,-0.039691,Neutral,2022-05-02 21:17:00,-0.021668,Neutral,2022-06-02 14:00:00,0.125516,Neutral,2022-07-01 23:38:00,0.00023,Neutral
111,,,,2022-04-02 09:51:00,-0.032194,Neutral,2022-05-02 21:45:00,-0.039259,Neutral,2022-06-02 14:11:46,-0.168947,Somewhat-Bearish,2022-07-02 00:08:08,-0.344419,Somewhat-Bearish
112,,,,2022-04-02 10:30:06,0.012799,Neutral,2022-05-02 21:47:21,-0.136908,Neutral,2022-06-02 14:18:55,-0.214487,Somewhat-Bearish,2022-07-02 04:06:52,0.060389,Neutral
113,,,,2022-04-02 10:45:00,0.071505,Neutral,2022-05-02 21:49:04,-0.041312,Neutral,2022-06-02 14:27:15,-0.073546,Neutral,2022-07-02 04:33:04,-0.082497,Neutral
114,,,,2022-04-02 10:54:03,0.004796,Neutral,2022-05-02 22:05:17,0.095467,Neutral,2022-06-02 15:08:31,0.097512,Neutral,2022-07-02 05:12:00,-0.021657,Neutral
115,,,,2022-04-02 11:00:00,0.017963,Neutral,2022-05-02 22:06:53,-0.003613,Neutral,2022-06-02 15:25:51,-0.23533,Somewhat-Bearish,2022-07-02 07:24:10,-0.168106,Somewhat-Bearish
116,,,,2022-04-02 11:39:15,-0.020278,Neutral,2022-05-02 22:16:11,0.022909,Neutral,2022-06-02 15:29:12,-0.009214,Neutral,2022-07-02 07:45:29,0.01872,Neutral
117,,,,2022-04-02 12:05:00,0.126888,Neutral,2022-05-03 00:56:18,-0.031025,Neutral,2022-06-02 15:40:41,-0.223954,Somewhat-Bearish,2022-07-02 08:10:31,0.006145,Neutral
118,,,,2022-04-02 12:30:00,-0.010347,Neutral,2022-05-03 01:21:29,-0.042834,Neutral,2022-06-02 15:47:51,0.29487,Somewhat-Bullish,2022-07-02 08:47:44,-0.178438,Somewhat-Bearish
119,,,,2022-04-02 12:36:00,0.040473,Neutral,2022-05-03 01:27:57,-0.012268,Neutral,2022-06-02 15:49:35,0.107225,Neutral,2022-07-02 09:45:00,0.214502,Somewhat-Bullish
120,,,,2022-04-02 12:47:00,0.037806,Neutral,2022-05-03 02:21:04,0.138981,Neutral,2022-06-02 15:56:21,0.053435,Neutral,2022-07-02 11:30:00,0.018518,Neutral
121,,,,2022-04-02 13:05:00,-0.073185,Neutral,2022-05-03 04:02:17,0.072773,Neutral,2022-06-02 16:01:38,-0.024726,Neutral,2022-07-02 12:00:00,-0.025475,Neutral
122,,,,2022-04-02 13:12:21,-0.086123,Neutral,2022-05-03 04:42:31,-0.118709,Neutral,2022-06-02 16:01:42,-0.014818,Neutral,2022-07-02 12:00:01,-0.073435,Neutral
123,,,,2022-04-02 13:20:00,0.037806,Neutral,2022-05-03 05:15:00,-0.021371,Neutral,2022-06-02 16:02:01,-0.056479,Neutral,2022-07-02 12:30:56,-0.278624,Somewhat-Bearish
124,,,,2022-04-02 13:21:39,-0.402827,Bearish,2022-05-03 05:38:24,-0.078588,Neutral,2022-06-02 16:02:19,-0.056479,Neutral,2022-07-02 13:24:42,0.045466,Neutral
125,,,,2022-04-02 14:09:47,-0.192148,Somewhat-Bearish,2022-05-03 06:03:36,-0.01537,Neutral,2022-06-02 16:07:27,-0.07174,Neutral,2022-07-02 13:39:00,-0.115296,Neutral
126,,,,2022-04-02 14:25:52,-0.08241,Neutral,2022-05-03 06:38:30,-0.024791,Neutral,2022-06-02 16:08:27,-0.185941,Somewhat-Bearish,2022-07-02 13:45:00,-0.136925,Neutral
127,,,,2022-04-02 14:30:45,0.045574,Neutral,2022-05-03 06:45:00,-0.403126,Bearish,2022-06-02 16:25:14,-0.426752,Bearish,2022-07-02 14:00:00,-0.071573,Neutral
128,,,,2022-04-02 15:03:00,0.039745,Neutral,2022-05-03 06:53:09,0.343193,Somewhat-Bullish,2022-06-02 16:31:08,-0.087014,Neutral,2022-07-02 14:51:00,-0.190441,Somewhat-Bearish
129,,,,2022-04-02 15:35:22,-0.00529,Neutral,2022-05-03 07:00:00,-0.083714,Neutral,2022-06-02 16:44:02,-0.265859,Somewhat-Bearish,2022-07-02 15:49:16,0.061847,Neutral
130,,,,2022-04-02 17:20:39,0.006834,Neutral,2022-05-03 07:00:09,-0.143425,Neutral,2022-06-02 16:49:15,-0.130573,Neutral,2022-07-02 16:43:27,-0.094009,Neutral
131,,,,2022-04-02 18:03:08,-0.176005,Somewhat-Bearish,2022-05-03 07:03:10,-0.195981,Somewhat-Bearish,2022-06-02 16:50:08,0.078373,Neutral,2022-07-02 16:53:14,-0.139221,Neutral
132,,,,2022-04-02 19:00:54,0.064052,Neutral,2022-05-03 08:13:47,0.029091,Neutral,2022-06-02 16:50:41,0.038333,Neutral,2022-07-02 17:44:27,-0.17267,Somewhat-Bearish
133,,,,2022-04-02 19:31:25,0.037227,Neutral,2022-05-03 09:00:07,-0.089203,Neutral,2022-06-02 16:59:00,-0.142919,Neutral,2022-07-02 19:12:35,-0.159487,Somewhat-Bearish
134,,,,2022-04-02 20:28:39,-0.012241,Neutral,2022-05-03 09:06:00,-0.074065,Neutral,2022-06-02 17:15:00,-0.200824,Somewhat-Bearish,2022-07-02 19:24:41,-0.068909,Neutral
135,,,,2022-04-02 20:30:53,-0.102797,Neutral,2022-05-03 09:28:35,-0.058011,Neutral,2022-06-02 17:16:14,-0.097371,Neutral,2022-07-02 19:24:42,-0.051054,Neutral
136,,,,2022-04-02 21:05:51,0.063376,Neutral,2022-05-03 09:53:08,0.009843,Neutral,2022-06-02 17:20:24,0.162007,Somewhat-Bullish,2022-07-02 19:46:32,-0.089655,Neutral
137,,,,2022-04-02 21:40:50,0.033704,Neutral,2022-05-03 10:07:50,-0.40712,Bearish,2022-06-02 17:35:46,-0.048801,Neutral,2022-07-02 20:30:05,-0.147505,Neutral
138,,,,2022-04-02 23:00:00,-0.055903,Neutral,2022-05-03 10:22:15,-0.001958,Neutral,2022-06-02 18:15:00,-0.100572,Neutral,2022-07-02 21:58:14,-0.02485,Neutral
139,,,,2022-04-03 02:25:32,-0.029482,Neutral,2022-05-03 10:44:21,-0.033475,Neutral,2022-06-02 18:29:00,-0.040129,Neutral,2022-07-03 02:11:00,-0.083326,Neutral
140,,,,2022-04-03 05:30:00,-0.357755,Bearish,2022-05-03 11:17:48,-0.060359,Neutral,2022-06-02 18:30:00,0.01954,Neutral,2022-07-03 05:11:00,0.018153,Neutral
141,,,,2022-04-03 10:00:00,-0.152013,Somewhat-Bearish,2022-05-03 11:30:00,0.127276,Neutral,2022-06-02 18:30:00,0.120531,Neutral,2022-07-03 08:31:50,-0.207791,Somewhat-Bearish
142,,,,2022-04-03 10:00:17,0.27656,Somewhat-Bullish,2022-05-03 11:37:40,-0.035025,Neutral,2022-06-02 18:36:46,-0.075406,Neutral,2022-07-03 08:53:54,0.070305,Neutral
143,,,,2022-04-03 10:00:51,-0.21689,Somewhat-Bearish,2022-05-03 11:54:00,-0.159103,Somewhat-Bearish,2022-06-02 18:44:00,-0.024846,Neutral,2022-07-03 09:30:00,-0.340234,Somewhat-Bearish
144,,,,2022-04-03 10:15:00,0.016595,Neutral,2022-05-03 12:15:53,-0.066129,Neutral,2022-06-02 18:50:15,0.01968,Neutral,2022-07-03 09:38:00,-0.271122,Somewhat-Bearish
145,,,,2022-04-03 10:15:00,-0.059328,Neutral,2022-05-03 12:20:26,-0.244706,Somewhat-Bearish,2022-06-02 19:00:12,0.015986,Neutral,2022-07-03 10:00:25,-0.264963,Somewhat-Bearish
146,,,,2022-04-03 11:07:00,0.090278,Neutral,2022-05-03 12:30:00,0.251914,Somewhat-Bullish,2022-06-02 19:08:34,-0.324183,Somewhat-Bearish,2022-07-03 11:00:07,-0.384383,Bearish
147,,,,2022-04-03 11:07:00,0.006283,Neutral,2022-05-03 12:55:00,0.186125,Somewhat-Bullish,2022-06-02 19:13:40,0.047274,Neutral,2022-07-03 11:01:02,-0.053443,Neutral
148,,,,2022-04-03 12:18:00,0.10709,Neutral,2022-05-03 13:01:00,-0.016533,Neutral,2022-06-02 20:00:02,-0.022581,Neutral,2022-07-03 13:13:03,-0.243959,Somewhat-Bearish
149,,,,2022-04-03 12:24:32,-0.067104,Neutral,2022-05-03 13:01:02,0.000982,Neutral,2022-06-02 20:08:00,-0.193159,Somewhat-Bearish,2022-07-03 13:22:49,0.143793,Neutral
150,,,,2022-04-03 12:30:00,0.142913,Neutral,2022-05-03 13:15:58,-0.006205,Neutral,2022-06-02 20:30:00,0.006179,Neutral,2022-07-03 14:19:00,0.048546,Neutral
151,,,,2022-04-03 12:45:08,-0.043793,Neutral,2022-05-03 13:27:00,-0.403126,Bearish,2022-06-02 20:30:00,-0.001974,Neutral,2022-07-03 15:14:40,-0.212205,Somewhat-Bearish
152,,,,2022-04-03 13:12:03,-0.118009,Neutral,2022-05-03 13:29:33,-0.020778,Neutral,2022-06-02 21:00:00,0.019586,Neutral,2022-07-03 15:30:00,-0.246724,Somewhat-Bearish
153,,,,2022-04-03 14:00:00,-0.000116,Neutral,2022-05-03 13:43:44,0.070894,Neutral,2022-06-02 21:00:00,-0.186656,Somewhat-Bearish,2022-07-03 17:19:33,-0.141608,Neutral
154,,,,2022-04-03 14:02:34,0.019419,Neutral,2022-05-03 13:45:00,0.062701,Neutral,2022-06-02 21:20:59,-0.079533,Neutral,2022-07-03 18:39:15,-0.003003,Neutral
155,,,,2022-04-03 14:31:02,0.021138,Neutral,2022-05-03 14:01:25,-0.081307,Neutral,2022-06-02 21:26:49,0.044029,Neutral,2022-07-03 19:10:02,-0.112633,Neutral
156,,,,2022-04-03 14:33:05,0.035474,Neutral,2022-05-03 14:04:07,0.010269,Neutral,2022-06-02 21:56:00,-0.220361,Somewhat-Bearish,2022-07-03 19:20:00,-0.020153,Neutral
157,,,,2022-04-03 15:30:00,0.062635,Neutral,2022-05-03 14:17:32,0.004117,Neutral,2022-06-02 22:51:37,-0.157008,Somewhat-Bearish,2022-07-03 20:15:00,-0.041775,Neutral
158,,,,2022-04-03 16:39:23,0.002742,Neutral,2022-05-03 14:27:54,0.01469,Neutral,2022-06-02 23:30:00,0.053254,Neutral,2022-07-03 20:34:18,-0.065804,Neutral
159,,,,2022-04-03 17:16:28,-0.125929,Neutral,2022-05-03 14:40:00,-0.078916,Neutral,2022-06-03 00:45:19,-0.187656,Somewhat-Bearish,2022-07-03 22:28:00,0.086918,Neutral
160,,,,2022-04-03 17:43:01,-0.030437,Neutral,2022-05-03 14:46:33,-0.234904,Somewhat-Bearish,2022-06-03 01:06:38,-0.174346,Somewhat-Bearish,2022-07-04 02:57:33,-0.114062,Neutral
161,,,,2022-04-03 18:30:47,-0.037829,Neutral,2022-05-03 14:50:20,-0.097238,Neutral,2022-06-03 01:17:40,-0.019144,Neutral,2022-07-04 03:47:02,0.022209,Neutral
162,,,,2022-04-03 20:09:59,-0.123034,Neutral,2022-05-03 15:01:00,0.011502,Neutral,2022-06-03 01:38:00,-0.22401,Somewhat-Bearish,2022-07-04 04:00:29,-0.072211,Neutral
163,,,,2022-04-03 20:30:00,0.04991,Neutral,2022-05-03 15:06:25,-0.002347,Neutral,2022-06-03 02:18:18,-0.084742,Neutral,2022-07-04 05:51:38,-0.097655,Neutral
164,,,,2022-04-03 23:00:00,0.02467,Neutral,2022-05-03 15:06:50,-0.052466,Neutral,2022-06-03 04:06:00,-0.267373,Somewhat-Bearish,2022-07-04 05:55:17,-0.301627,Somewhat-Bearish
165,,,,2022-04-04 01:32:58,0.038042,Neutral,2022-05-03 15:15:43,0.097641,Neutral,2022-06-03 05:05:06,-0.167313,Somewhat-Bearish,2022-07-04 06:28:07,-0.005675,Neutral
166,,,,2022-04-04 01:33:00,0.167055,Somewhat-Bullish,2022-05-03 15:16:36,0.026572,Neutral,2022-06-03 05:13:34,-0.005925,Neutral,2022-07-04 07:16:30,-0.5396,Bearish
167,,,,2022-04-04 02:04:41,-0.037592,Neutral,2022-05-03 16:00:00,0.163951,Somewhat-Bullish,2022-06-03 05:33:33,-0.003938,Neutral,2022-07-04 07:32:45,-0.064825,Neutral
168,,,,2022-04-04 02:45:41,-0.002905,Neutral,2022-05-03 16:05:52,-0.055802,Neutral,2022-06-03 06:27:25,-0.088779,Neutral,2022-07-04 07:37:26,-0.118258,Neutral
169,,,,2022-04-04 03:37:43,0.021571,Neutral,2022-05-03 16:06:47,-0.015672,Neutral,2022-06-03 06:28:50,-0.070981,Neutral,2022-07-04 07:52:57,-0.027161,Neutral
170,,,,2022-04-04 03:43:00,-0.022819,Neutral,2022-05-03 16:06:59,-0.057325,Neutral,2022-06-03 06:53:07,-0.020011,Neutral,2022-07-04 08:22:47,-0.152539,Somewhat-Bearish
171,,,,2022-04-04 03:54:56,-0.079107,Neutral,2022-05-03 16:07:34,-0.057096,Neutral,2022-06-03 07:09:04,-0.064792,Neutral,2022-07-04 09:00:21,-0.112286,Neutral
172,,,,2022-04-04 04:01:41,0.039187,Neutral,2022-05-03 16:08:05,-0.049441,Neutral,2022-06-03 08:15:54,-0.017994,Neutral,2022-07-04 09:09:29,0.087612,Neutral
173,,,,2022-04-04 05:00:43,-0.05693,Neutral,2022-05-03 16:20:00,-0.022201,Neutral,2022-06-03 08:23:24,-0.121656,Neutral,2022-07-04 10:02:54,-0.082722,Neutral
174,,,,2022-04-04 05:16:00,-0.070368,Neutral,2022-05-03 16:34:00,-0.087235,Neutral,2022-06-03 08:32:27,0.006322,Neutral,2022-07-04 10:13:00,-0.130931,Neutral
175,,,,2022-04-04 05:33:40,-0.053937,Neutral,2022-05-03 17:06:41,0.314482,Somewhat-Bullish,2022-06-03 08:56:04,0.007831,Neutral,2022-07-04 10:40:26,-0.084291,Neutral
176,,,,2022-04-04 07:30:00,-0.1369,Neutral,2022-05-03 17:26:00,0.133064,Neutral,2022-06-03 08:56:08,0.009615,Neutral,2022-07-04 10:59:50,0.012463,Neutral
177,,,,2022-04-04 07:44:28,-0.070996,Neutral,2022-05-03 17:30:00,-0.206353,Somewhat-Bearish,2022-06-03 09:30:00,-0.306919,Somewhat-Bearish,2022-07-04 11:39:39,-0.570648,Bearish
178,,,,2022-04-04 08:08:16,-0.162366,Somewhat-Bearish,2022-05-03 18:09:33,0.001031,Neutral,2022-06-03 09:52:00,0.059551,Neutral,2022-07-04 12:08:00,-0.113895,Neutral
179,,,,2022-04-04 08:08:46,0.119811,Neutral,2022-05-03 18:23:50,-0.018639,Neutral,2022-06-03 09:54:16,-0.05237,Neutral,2022-07-04 12:10:56,-0.088056,Neutral
180,,,,2022-04-04 08:22:15,-0.058033,Neutral,2022-05-03 18:35:10,0.090592,Neutral,2022-06-03 09:57:00,0.055127,Neutral,2022-07-04 13:00:00,0.136747,Neutral
181,,,,2022-04-04 08:37:47,0.013066,Neutral,2022-05-03 19:00:48,0.065403,Neutral,2022-06-03 10:00:00,-0.061589,Neutral,2022-07-04 13:07:00,-0.00906,Neutral
182,,,,2022-04-04 08:47:31,-0.051619,Neutral,2022-05-03 19:57:26,-0.036281,Neutral,2022-06-03 10:08:00,-0.090161,Neutral,2022-07-04 13:16:00,-0.039415,Neutral
183,,,,2022-04-04 08:49:22,-0.036052,Neutral,2022-05-03 20:06:40,-0.070545,Neutral,2022-06-03 10:26:08,-0.317288,Somewhat-Bearish,2022-07-04 13:25:41,0.136276,Neutral
184,,,,2022-04-04 09:19:33,-0.043495,Neutral,2022-05-03 20:18:16,-0.012055,Neutral,2022-06-03 10:26:36,-0.11785,Neutral,2022-07-04 14:26:30,-0.232471,Somewhat-Bearish
185,,,,2022-04-04 09:23:16,-0.07874,Neutral,2022-05-03 20:34:19,-0.12393,Neutral,2022-06-03 10:27:00,-0.106033,Neutral,2022-07-04 15:00:00,0.07752,Neutral
186,,,,2022-04-04 09:28:08,0.13341,Neutral,2022-05-03 20:41:59,0.065006,Neutral,2022-06-03 10:47:38,-0.025968,Neutral,2022-07-04 15:34:35,-0.047245,Neutral
187,,,,2022-04-04 09:30:00,0.014712,Neutral,2022-05-03 20:57:47,-0.468815,Bearish,2022-06-03 10:50:00,-0.180797,Somewhat-Bearish,2022-07-04 15:45:33,-0.044983,Neutral
188,,,,2022-04-04 09:35:27,-0.029228,Neutral,2022-05-03 21:05:17,-0.195737,Somewhat-Bearish,2022-06-03 11:14:31,0.002861,Neutral,2022-07-04 15:52:37,0.118862,Neutral
189,,,,2022-04-04 09:57:07,-0.163364,Somewhat-Bearish,2022-05-03 21:35:02,0.002116,Neutral,2022-06-03 11:33:00,-0.027536,Neutral,2022-07-04 15:55:25,-0.137561,Neutral
190,,,,2022-04-04 10:28:17,-0.080973,Neutral,2022-05-03 21:40:38,0.011734,Neutral,2022-06-03 11:45:39,-0.190168,Somewhat-Bearish,2022-07-04 16:24:30,-0.107049,Neutral
191,,,,2022-04-04 10:34:00,0.153951,Somewhat-Bullish,2022-05-03 22:12:00,-0.191775,Somewhat-Bearish,2022-06-03 11:52:17,0.018962,Neutral,2022-07-04 17:15:00,-0.147289,Neutral
192,,,,2022-04-04 11:05:00,0.00327,Neutral,2022-05-03 22:13:00,-0.024898,Neutral,2022-06-03 11:54:59,-0.094599,Neutral,2022-07-04 19:14:28,-0.060775,Neutral
193,,,,2022-04-04 11:05:00,0.034666,Neutral,2022-05-03 22:45:00,-0.099452,Neutral,2022-06-03 12:02:26,-0.084868,Neutral,2022-07-04 20:33:45,-0.242421,Somewhat-Bearish
194,,,,2022-04-04 11:14:59,-0.010455,Neutral,2022-05-03 23:15:30,-0.053974,Neutral,2022-06-03 12:36:00,-0.192708,Somewhat-Bearish,2022-07-04 20:50:40,-0.186638,Somewhat-Bearish
195,,,,2022-04-04 11:52:26,0.004162,Neutral,2022-05-03 23:20:31,-0.132031,Neutral,2022-06-03 12:45:00,-0.07593,Neutral,2022-07-05 01:25:18,-0.087001,Neutral
196,,,,2022-04-04 11:56:29,-0.043277,Neutral,2022-05-03 23:30:39,-0.03629,Neutral,2022-06-03 12:53:16,0.040496,Neutral,2022-07-05 01:42:00,0.001056,Neutral
197,,,,2022-04-04 11:58:54,0.053577,Neutral,2022-05-04 01:37:24,-0.12376,Neutral,2022-06-03 12:58:28,-0.255519,Somewhat-Bearish,2022-07-05 03:29:02,-0.059824,Neutral
198,,,,2022-04-04 12:30:57,0.071544,Neutral,2022-05-04 02:57:57,-0.071387,Neutral,2022-06-03 12:58:34,-0.178962,Somewhat-Bearish,2022-07-05 04:13:37,-0.091662,Neutral
199,,,,2022-04-04 12:37:39,-0.110503,Neutral,2022-05-04 03:31:47,-0.007343,Neutral,2022-06-03 12:58:34,-0.178962,Somewhat-Bearish,2022-07-05 06:00:00,0.039252,Neutral
