,March_BTC,March_BTC,March_BTC,April_BTC,April_BTC,April_BTC,May_BTC,May_BTC,May_BTC,June_BTC,June_BTC,June_BTC,July_BTC,July_BTC,July_BTC
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
23,2022-03-04 11:30:29,-0.111531,Neutral,2022-04-01 08:42:14,-0.124601,Neutral,2022-05-02 01:47:18,0.01638,Neutral,2022-06-01 10:00:00,0.018877,Neutral,2022-07-01 08:33:12,-0.265664,Somewhat-Bearish
24,2022-03-04 12:32:30,-0.010611,Neutral,2022-04-01 09:13:39,0.081627,Neutral,2022-05-02 02:43:07,-0.155894,Somewhat-Bearish,2022-06-01 10:00:01,-0.038907,Neutral,2022-07-01 08:46:27,-0.206507,Somewhat-Bearish
25,2022-03-04 14:01:01,-0.107241,Neutral,2022-04-01 09:15:02,-0.277181,Somewhat-Bearish,2022-05-02 02:46:05,-0.101923,Neutral,2022-06-01 10:00:23,-0.198634,Somewhat-Bearish,2022-07-01 08:46:27,-0.110602,Neutral
26,2022-03-04 14:45:00,0.051684,Neutral,2022-04-01 09:33:15,-0.003388,Neutral,2022-05-02 03:51:38,0.017807,Neutral,2022-06-01 10:08:33,-0.028454,Neutral,2022-07-01 08:46:27,-0.070101,Neutral
27,2022-03-04 15:24:00,0.054339,Neutral,2022-04-01 09:47:18,-0.033429,Neutral,2022-05-02 03:53:52,-0.077288,Neutral,2022-06-01 10:13:30,-0.048364,Neutral,2022-07-01 09:42:00,-0.049169,Neutral
28,2022-03-04 16:00:00,0.048122,Neutral,2022-04-01 09:50:52,-0.050009,Neutral,2022-05-02 04:00:32,0.405449,Bullish,2022-06-01 11:00:09,-0.066551,Neutral,2022-07-01 09:44:00,-0.474819,Bearish
29,2022-03-04 16:00:00,0.048122,Neutral,2022-04-01 09:52:00,0.167856,Somewhat-Bullish,2022-05-02 05:54:46,-0.218663,Somewhat-Bearish,2022-06-01 11:16:40,-0.147699,Neutral,2022-07-01 09:44:33,-0.01117,Neutral
30,2022-03-04 16:30:00,-0.357834,Bearish,2022-04-01 10:11:00,-0.142004,Neutral,2022-05-02 07:00:00,0.041117,Neutral,2022-06-01 12:02:37,0.030119,Neutral,2022-07-01 09:52:04,-0.058383,Neutral
31,2022-03-04 17:22:00,0.125201,Neutral,2022-04-01 10:20:48,0.033212,Neutral,2022-05-02 07:00:00,0.040319,Neutral,2022-06-01 12:06:02,-0.251774,Somewhat-Bearish,2022-07-01 09:57:06,-0.082547,Neutral
32,2022-03-04 17:36:07,0.054786,Neutral,2022-04-01 10:30:00,-0.130565,Neutral,2022-05-02 07:08:12,0.055826,Neutral,2022-06-01 12:08:31,-0.115107,Neutral,2022-07-01 10:00:00,0.365629,Bullish
33,2022-03-04 18:42:00,-0.12326,Neutral,2022-04-01 11:00:00,0.060341,Neutral,2022-05-02 07:41:25,0.034793,Neutral,2022-06-01 12:21:27,-0.065085,Neutral,2022-07-01 10:11:00,-0.231911,Somewhat-Bearish
34,2022-03-04 20:32:12,-0.036225,Neutral,2022-04-01 11:26:54,-0.129414,Neutral,2022-05-02 07:49:25,-0.161398,Somewhat-Bearish,2022-06-01 12:30:00,-0.143085,Neutral,2022-07-01 10:14:33,-0.128071,Neutral
35,2022-03-04 21:35:59,0.176178,Somewhat-Bullish,2022-04-01 11:46:19,0.079296,Neutral,2022-05-02 08:07:00,-0.066487,Neutral,2022-06-01 12:40:33,-0.348262,Somewhat-Bearish,2022-07-01 10:20:25,-0.367003,Bearish
36,2022-03-04 22:28:46,0.033246,Neutral,2022-04-01 11:48:02,-0.129396,Neutral,2022-05-02 08:31:12,-0.00454,Neutral,2022-06-01 12:46:48,-0.324914,Somewhat-Bearish,2022-07-01 10:24:38,-0.14451,Neutral
37,2022-03-04 23:11:21,-0.046039,Neutral,2022-04-01 12:00:00,0.03287,Neutral,2022-05-02 09:00:00,-0.369493,Bearish,2022-06-01 13:00:00,0.085563,Neutral,2022-07-01 10:30:00,0.096014,Neutral
38,2022-03-05 01:00:00,-0.025838,Neutral,2022-04-01 12:09:00,-0.007238,Neutral,2022-05-02 09:25:00,-0.037759,Neutral,2022-06-01 13:01:35,-0.051964,Neutral,2022-07-01 10:30:00,-0.053943,Neutral
39,2022-03-05 10:00:16,-0.125597,Neutral,2022-04-01 12:09:14,0.018053,Neutral,2022-05-02 09:27:17,-0.248238,Somewhat-Bearish,2022-06-01 13:07:00,-0.011211,Neutral,2022-07-01 10:36:00,-0.058685,Neutral
40,2022-03-05 14:55:53,-0.146635,Neutral,2022-04-01 12:20:00,0.051294,Neutral,2022-05-02 09:27:17,-0.271669,Somewhat-Bearish,2022-06-01 14:15:35,-0.014852,Neutral,2022-07-01 11:00:00,0.012267,Neutral
41,2022-03-05 15:46:02,0.09635,Neutral,2022-04-01 12:20:47,0.069318,Neutral,2022-05-02 09:28:26,-0.015186,Neutral,2022-06-01 14:25:59,0.008437,Neutral,2022-07-01 11:00:00,-0.252796,Somewhat-Bearish
42,2022-03-05 18:39:26,-0.113033,Neutral,2022-04-01 12:24:20,-0.032766,Neutral,2022-05-02 09:30:00,-0.217955,Somewhat-Bearish,2022-06-01 14:45:00,0.028924,Neutral,2022-07-01 11:10:00,-0.056501,Neutral
43,2022-03-06 11:00:07,-0.117464,Neutral,2022-04-01 12:25:00,-0.020898,Neutral,2022-05-02 10:00:46,-0.01432,Neutral,2022-06-01 14:48:21,-0.100686,Neutral,2022-07-01 11:16:26,-0.105023,Neutral
44,2022-03-06 13:54:48,0.172032,Somewhat-Bullish,2022-04-01 12:25:47,-0.020898,Neutral,2022-05-02 10:29:15,-0.04236,Neutral,2022-06-01 14:50:41,-0.0984,Neutral,2022-07-01 11:30:00,-0.036333,Neutral
45,2022-03-06 15:02:41,0.1985,Somewhat-Bullish,2022-04-01 12:30:27,0.000892,Neutral,2022-05-02 11:00:00,-0.232774,Somewhat-Bearish,2022-06-01 15:00:00,-0.025704,Neutral,2022-07-01 11:45:00,-0.206254,Somewhat-Bearish
46,2022-03-06 15:18:20,-0.361542,Bearish,2022-04-01 12:39:00,0.223478,Somewhat-Bullish,2022-05-02 11:00:00,0.005472,Neutral,2022-06-01 15:05:22,-0.031288,Neutral,2022-07-01 11:47:00,-0.109903,Neutral
47,2022-03-06 16:00:43,0.277901,Somewhat-Bullish,2022-04-01 12:39:00,0.128402,Neutral,2022-05-02 11:47:15,-0.102672,Neutral,2022-06-01 15:14:37,-0.109028,Neutral,2022-07-01 11:48:00,-0.212763,Somewhat-Bearish
48,2022-03-06 16:28:06,-0.01428,Neutral,2022-04-01 12:56:00,0.067868,Neutral,2022-05-02 11:59:00,-0.004917,Neutral,2022-06-01 15:17:00,-0.098263,Neutral,2022-07-01 12:15:00,-0.16209,Somewhat-Bearish
49,2022-03-06 17:01:02,-0.139475,Neutral,2022-04-01 13:06:53,0.20455,Somewhat-Bullish,2022-05-02 12:04:42,-0.341549,Somewhat-Bearish,2022-06-01 15:25:00,-0.172325,Somewhat-Bearish,2022-07-01 12:20:01,-0.06027,Neutral
50,,,,2022-04-01 13:13:00,-0.264853,Somewhat-Bearish,2022-05-02 12:04:53,-0.07982,Neutral,2022-06-01 15:51:54,-0.122397,Neutral,2022-07-01 12:33:45,-0.215158,Somewhat-Bearish
51,,,,2022-04-01 13:30:06,0.037513,Neutral,2022-05-02 12:29:00,0.197402,Somewhat-Bullish,2022-06-01 16:00:00,0.085015,Neutral,2022-07-01 12:40:00,-0.130756,Neutral
52,,,,2022-04-01 13:42:00,-0.038462,Neutral,2022-05-02 12:30:03,-0.140269,Neutral,2022-06-01 16:03:18,-0.164383,Somewhat-Bearish,2022-07-01 12:47:00,-0.259823,Somewhat-Bearish
53,,,,2022-04-01 13:58:57,0.033295,Neutral,2022-05-02 12:31:00,0.029552,Neutral,2022-06-01 16:03:37,-0.014661,Neutral,2022-07-01 12:48:00,-0.421434,Bearish
54,,,,2022-04-01 14:00:00,0.055862,Neutral,2022-05-02 12:45:00,0.024777,Neutral,2022-06-01 16:04:03,-0.015669,Neutral,2022-07-01 12:53:16,-0.238657,Somewhat-Bearish
55,,,,2022-04-01 14:10:24,-0.067701,Neutral,2022-05-02 12:46:00,-0.115925,Neutral,2022-06-01 16:04:41,-0.015391,Neutral,2022-07-01 13:06:39,-0.163696,Somewhat-Bearish
56,,,,2022-04-01 14:11:51,-0.100927,Neutral,2022-05-02 12:47:36,-0.202644,Somewhat-Bearish,2022-06-01 16:31:05,0.044381,Neutral,2022-07-01 13:23:31,0.051837,Neutral
57,,,,2022-04-01 14:11:51,-0.100927,Neutral,2022-05-02 12:52:51,0.013489,Neutral,2022-06-01 16:57:48,-0.135112,Neutral,2022-07-01 13:25:39,-0.116295,Neutral
58,,,,2022-04-01 14:17:04,0.011252,Neutral,2022-05-02 13:46:22,-0.107883,Neutral,2022-06-01 17:35:23,-0.050379,Neutral,2022-07-01 13:30:00,0.011086,Neutral
59,,,,2022-04-01 14:26:33,-0.034438,Neutral,2022-05-02 14:10:15,-0.182298,Somewhat-Bearish,2022-06-01 17:40:00,-0.245951,Somewhat-Bearish,2022-07-01 13:31:16,-0.058991,Neutral
60,,,,2022-04-01 14:49:00,-0.044639,Neutral,2022-05-02 14:21:00,-0.305898,Somewhat-Bearish,2022-06-01 17:59:00,-0.136995,Neutral,2022-07-01 13:37:10,-0.045684,Neutral
61,,,,2022-04-01 14:53:00,0.022115,Neutral,2022-05-02 14:35:46,-0.369133,Bearish,2022-06-01 18:35:15,0.013795,Neutral,2022-07-01 13:58:52,-0.284582,Somewhat-Bearish
62,,,,2022-04-01 15:01:00,-0.025557,Neutral,2022-05-02 14:37:50,-0.191245,Somewhat-Bearish,2022-06-01 18:44:08,-0.109243,Neutral,2022-07-01 14:38:00,-0.025835,Neutral
63,,,,2022-04-01 15:16:43,-0.035616,Neutral,2022-05-02 14:38:38,-0.084434,Neutral,2022-06-01 19:00:00,-0.017102,Neutral,2022-07-01 14:52:00,0.066031,Neutral
64,,,,2022-04-01 15:20:04,-0.021762,Neutral,2022-05-02 14:39:58,-0.190358,Somewhat-Bearish,2022-06-01 20:18:30,0.002578,Neutral,2022-07-01 14:54:12,-0.093804,Neutral
65,,,,2022-04-01 15:57:43,0.064597,Neutral,2022-05-02 14:47:17,0.064477,Neutral,2022-06-01 20:24:00,0.064944,Neutral,2022-07-01 15:09:00,-0.220753,Somewhat-Bearish
66,,,,2022-04-01 16:00:00,0.083604,Neutral,2022-05-02 15:00:00,0.40275,Bullish,2022-06-01 20:30:00,0.002855,Neutral,2022-07-01 15:28:12,-0.047854,Neutral
67,,,,2022-04-01 16:00:00,0.143432,Neutral,2022-05-02 15:01:00,-0.276576,Somewhat-Bearish,2022-06-01 20:50:33,-0.082662,Neutral,2022-07-01 15:30:24,-0.240516,Somewhat-Bearish
68,,,,2022-04-01 16:00:02,0.088761,Neutral,2022-05-02 15:09:30,0.12754,Neutral,2022-06-01 21:00:00,-0.077784,Neutral,2022-07-01 15:42:16,-0.166777,Somewhat-Bearish
69,,,,2022-04-01 16:00:51,-0.060357,Neutral,2022-05-02 15:14:13,-0.111394,Neutral,2022-06-01 21:16:07,-0.173337,Somewhat-Bearish,2022-07-01 15:43:59,-0.04946,Neutral
70,,,,2022-04-01 16:01:14,-0.011117,Neutral,2022-05-02 15:23:00,-0.332258,Somewhat-Bearish,2022-06-01 21:36:49,0.016054,Neutral,2022-07-01 16:05:10,-0.201322,Somewhat-Bearish
71,,,,2022-04-01 16:01:19,-0.010615,Neutral,2022-05-02 15:56:00,0.010702,Neutral,2022-06-01 23:27:56,0.028475,Neutral,2022-07-01 16:10:51,-0.052127,Neutral
72,,,,2022-04-01 16:01:26,-0.010572,Neutral,2022-05-02 16:03:45,-0.023829,Neutral,2022-06-01 23:42:36,0.052005,Neutral,2022-07-01 16:10:55,-0.022136,Neutral
73,,,,2022-04-01 16:01:37,-0.023916,Neutral,2022-05-02 16:03:59,-0.053731,Neutral,2022-06-01 23:51:40,0.158895,Somewhat-Bullish,2022-07-01 16:11:01,-0.01115,Neutral
74,,,,2022-04-01 16:01:41,-0.047874,Neutral,2022-05-02 16:04:04,-0.013735,Neutral,2022-06-02 00:12:59,0.099076,Neutral,2022-07-01 16:11:16,-0.011487,Neutral
75,,,,2022-04-01 16:02:00,0.083018,Neutral,2022-05-02 16:04:08,-0.055295,Neutral,2022-06-02 01:21:16,-0.118914,Neutral,2022-07-01 16:31:08,-0.049355,Neutral
76,,,,2022-04-01 16:52:33,-0.058164,Neutral,2022-05-02 16:04:19,-0.049441,Neutral,2022-06-02 02:08:00,-0.098026,Neutral,2022-07-01 17:00:00,0.062879,Neutral
77,,,,2022-04-01 17:01:00,-0.03022,Neutral,2022-05-02 16:18:44,-0.136879,Neutral,2022-06-02 03:59:27,-0.012194,Neutral,2022-07-01 17:12:23,-0.315606,Somewhat-Bearish
78,,,,2022-04-01 17:08:00,-0.007851,Neutral,2022-05-02 16:53:04,-0.071996,Neutral,2022-06-02 04:19:03,-0.049058,Neutral,2022-07-01 17:15:00,-0.209477,Somewhat-Bearish
79,,,,2022-04-01 17:11:04,0.069071,Neutral,2022-05-02 16:55:04,-0.122514,Neutral,2022-06-02 05:30:18,-0.223092,Somewhat-Bearish,2022-07-01 17:30:00,-0.06155,Neutral
80,,,,2022-04-01 17:13:49,0.058733,Neutral,2022-05-02 17:02:52,0.120995,Neutral,2022-06-02 06:11:11,0.097082,Neutral,2022-07-01 17:36:00,-0.154446,Somewhat-Bearish
81,,,,2022-04-01 17:14:51,0.000751,Neutral,2022-05-02 17:19:04,-0.236787,Somewhat-Bearish,2022-06-02 06:16:33,0.012292,Neutral,2022-07-01 17:43:00,-0.034916,Neutral
82,,,,2022-04-01 17:44:00,-0.017942,Neutral,2022-05-02 17:30:22,-0.101781,Neutral,2022-06-02 06:21:58,-0.109642,Neutral,2022-07-01 18:07:00,-0.203034,Somewhat-Bearish
83,,,,2022-04-01 17:44:43,-0.217698,Somewhat-Bearish,2022-05-02 17:37:42,0.184721,Somewhat-Bullish,2022-06-02 07:01:17,-0.097052,Neutral,2022-07-01 18:24:27,-0.086916,Neutral
84,,,,2022-04-01 17:45:21,-0.010738,Neutral,2022-05-02 17:41:45,-0.017999,Neutral,2022-06-02 07:27:18,-0.186809,Somewhat-Bearish,2022-07-01 18:40:00,0.236504,Somewhat-Bullish
85,,,,2022-04-01 17:49:00,-0.081214,Neutral,2022-05-02 17:42:43,-0.309275,Somewhat-Bearish,2022-06-02 08:02:24,-0.316585,Somewhat-Bearish,2022-07-01 18:44:00,-0.020919,Neutral
86,,,,2022-04-01 18:00:00,0.015324,Neutral,2022-05-02 18:01:03,-0.053039,Neutral,2022-06-02 08:17:17,-0.207291,Somewhat-Bearish,2022-07-01 18:45:00,-0.023293,Neutral
87,,,,2022-04-01 18:01:21,-0.212082,Somewhat-Bearish,2022-05-02 18:08:48,-0.173728,Somewhat-Bearish,2022-06-02 08:29:46,-0.115799,Neutral,2022-07-01 18:50:11,-0.22767,Somewhat-Bearish
88,,,,2022-04-01 18:03:00,-0.081214,Neutral,2022-05-02 18:28:41,-0.192917,Somewhat-Bearish,2022-06-02 08:36:37,-0.178847,Somewhat-Bearish,2022-07-01 19:03:48,-0.019198,Neutral
89,,,,2022-04-01 18:07:38,-0.02612,Neutral,2022-05-02 18:34:20,-0.213958,Somewhat-Bearish,2022-06-02 09:00:00,-0.245712,Somewhat-Bearish,2022-07-01 19:04:20,0.032872,Neutral
90,,,,2022-04-01 18:10:13,0.031976,Neutral,2022-05-02 18:45:17,-0.009929,Neutral,2022-06-02 09:10:32,-0.24894,Somewhat-Bearish,2022-07-01 19:08:00,-0.144476,Neutral
91,,,,2022-04-01 18:10:15,0.022723,Neutral,2022-05-02 18:59:04,-0.235604,Somewhat-Bearish,2022-06-02 09:21:00,-0.080399,Neutral,2022-07-01 19:14:29,-0.170026,Somewhat-Bearish
92,,,,2022-04-01 18:14:00,0.030838,Neutral,2022-05-02 19:23:00,0.019111,Neutral,2022-06-02 09:39:15,-0.001256,Neutral,2022-07-01 19:27:52,-0.169507,Somewhat-Bearish
93,,,,2022-04-01 18:35:11,-0.089002,Neutral,2022-05-02 19:31:31,-0.036692,Neutral,2022-06-02 10:00:11,-0.005042,Neutral,2022-07-01 19:31:17,-0.033196,Neutral
94,,,,2022-04-01 18:40:34,-0.063397,Neutral,2022-05-02 19:33:22,-0.04096,Neutral,2022-06-02 11:02:12,-0.018903,Neutral,2022-07-01 19:31:46,-0.194022,Somewhat-Bearish
95,,,,2022-04-01 18:50:48,-0.185614,Somewhat-Bearish,2022-05-02 19:45:00,-0.11389,Neutral,2022-06-02 11:18:10,-0.095623,Neutral,2022-07-01 19:55:38,-0.125176,Neutral
